measure,tp,n,mean,sd
IL-6,A1,8,0.785,0.6
IL-6,B1,8,0.927,0.605
IL-6,B30,9,0.924,0.731
IL-6,bsl,9,1.3,1.024
IL-8,A1,8,5.931,3.048
IL-8,B1,8,6.269,1.756
IL-8,B30,9,6.319,2.845
IL-8,bsl,9,7.96,5.418
TNF-α,A1,8,1.562,0.372
TNF-α,B1,8,1.589,0.358
TNF-α,B30,9,1.655,0.294
TNF-α,bsl,9,1.595,0.323
CRP,A1,8,0.444,0.387
CRP,B1,8,0.594,0.43
CRP,B30,9,0.481,0.424
CRP,bsl,9,0.81,0.777
IFN-γ,A1,8,4.146,2.008
IFN-γ,B1,8,3.926,1.75
IFN-γ,B30,9,4.326,1.651
IFN-γ,bsl,9,5.523,1.692
IL-10,A1,8,0.343,0.14
IL-10,B1,8,0.265,0.098
IL-10,B30,9,0.307,0.165
IL-10,bsl,9,0.316,0.129
FGF-21,A1,8,170.284,118.076
FGF-21,B1,8,226.255,225.449
FGF-21,B30,9,141.07,109.519
FGF-21,bsl,9,170.762,144.516
GDF-15,A1,8,726.245,228.188
GDF-15,B1,8,770.245,223.862
GDF-15,B30,9,827.09,225.266
GDF-15,bsl,9,872.519,190.666
