measure,tp,smd,smd_ci_low,smd_ci_high,est,se,ci_low,ci_high,p,p_sig,p_adj,p_adj_sig
infindex,A1,-0.72,-1.58,0.14,-0.464,0.143,-0.744,-0.184,0.001,**,0.003,**
infindex,B1,-0.6,-1.43,0.23,-0.408,0.165,-0.732,-0.084,0.014,*,0.021,*
infindex,B30,-0.62,-1.46,0.22,-0.392,0.197,-0.779,-0.005,0.047,*,0.047,*
IL-6,A1,-0.5,-1.32,0.32,-0.186,0.055,-0.293,-0.079,0.001,**,0.01,*
IL-6,B1,-0.44,-1.25,0.37,-0.159,0.069,-0.294,-0.024,0.021,*,0.088,
IL-6,B30,-0.42,-1.22,0.38,-0.159,0.077,-0.31,-0.008,0.039,*,0.109,
IL-8,A1,-0.51,-1.33,0.31,-0.224,0.069,-0.36,-0.088,0.001,**,0.01,*
IL-8,B1,-0.35,-1.14,0.44,-0.133,0.098,-0.325,0.06,0.176,,0.231,
IL-8,B30,-0.38,-1.18,0.42,-0.155,0.083,-0.317,0.007,0.061,,0.116,
CRP,A1,-0.37,-1.16,0.42,-0.101,0.039,-0.177,-0.025,0.009,**,0.047,*
CRP,B1,-0.35,-1.14,0.44,-0.116,0.076,-0.265,0.033,0.127,,0.19,
CRP,B30,-0.5,-1.32,0.32,-0.165,0.1,-0.361,0.031,0.098,,0.172,
IL-10,A1,0.25,-0.53,1.03,0.027,0.009,0.009,0.045,0.004,**,0.028,*
IL-10,B1,-0.2,-0.98,0.58,-0.018,0.018,-0.053,0.016,0.302,,0.373,
IL-10,B30,-0.08,-0.85,0.69,-0.009,0.024,-0.057,0.038,0.699,,0.734,
sIL-6R,A1,-0.11,-0.88,0.66,-0.031,0.016,-0.061,0.0,0.052,,0.109,
sIL-6R,B1,-0.22,-1.0,0.56,-0.063,0.063,-0.186,0.061,0.321,,0.375,
sIL-6R,B30,0.12,-0.65,0.89,0.034,0.023,-0.011,0.079,0.137,,0.192,
